# x_m,y_m,w_tr_right_m,w_tr_left_m
346.64,278.58,6.8967,4.356
345.74,278.2,7.0009,4.2637
344.85,277.81,7.107,4.1591
343.96,277.4,7.2149,4.0378
343.09,276.98,7.3222,3.9051
342.22,276.55,7.4241,3.7626
341.36,276.1,7.5194,3.6207
340.51,275.64,7.6107,3.4857
339.68,275.16,7.697,3.3508
338.85,274.67,7.7776,3.2218
338.04,274.16,7.8495,3.0997
337.24,273.64,7.911,2.978
336.46,273.1,7.9638,2.8618
335.69,272.54,8.0108,2.7541
334.93,271.97,8.0525,2.6645
334.2,271.38,8.0884,2.5925
333.47,270.77,8.1212,2.5197
332.77,270.14,8.1501,2.454
332.08,269.5,8.1768,2.403
331.41,268.84,8.1983,2.3585
330.76,268.16,8.2112,2.3211
330.12,267.47,8.2132,2.2952
329.51,266.76,8.2036,2.2814
328.91,266.03,8.182,2.2761
328.33,265.28,8.1477,2.2847
327.78,264.52,8.1022,2.3103
327.24,263.75,8.0459,2.3488
326.72,262.96,7.9816,2.3991
326.22,262.16,7.9117,2.4628
325.74,261.34,7.8339,2.5412
325.28,260.51,7.7485,2.6316
324.84,259.67,7.6556,2.7347
324.42,258.81,7.5539,2.845
324.01,257.94,7.446,2.9651
323.62,257.07,7.3329,3.0931
323.25,256.18,7.2149,3.2303
322.89,255.29,7.0921,3.3765
322.55,254.38,6.9638,3.5258
322.23,253.47,6.8334,3.6714
321.91,252.55,6.7039,3.8109
321.62,251.62,6.5804,3.9468
321.33,250.69,6.4634,4.0725
321.06,249.75,6.3533,4.1863
320.79,248.81,6.2497,4.2923
320.54,247.86,6.1529,4.385
320.3,246.91,6.0621,4.4641
320.06,245.95,5.975,4.534
319.84,244.99,5.891,4.5889
319.62,244.03,5.8119,4.6264
319.41,243.06,5.7377,4.6516
319.21,242.09,5.669,4.667
319.01,241.12,5.603,4.6743
318.82,240.15,5.5402,4.6807
318.63,239.18,5.4809,4.6829
318.44,238.2,5.4218,4.6812
318.26,237.22,5.3649,4.6769
318.09,236.24,5.311,4.669
317.91,235.27,5.2633,4.6584
317.74,234.28,5.2212,4.6477
317.58,233.3,5.183,4.6351
317.41,232.32,5.1479,4.6231
317.25,231.34,5.1145,4.6118
317.08,230.35,5.0806,4.6002
316.92,229.37,5.0465,4.5919
316.76,228.38,5.0153,4.583
316.6,227.4,4.9847,4.5742
316.45,226.41,4.9538,4.5667
316.29,225.43,4.9246,4.5626
316.13,224.44,4.8961,4.5571
315.98,223.45,4.8681,4.5474
315.82,222.46,4.8441,4.5368
315.67,221.48,4.822,4.5238
315.51,220.49,4.8011,4.5076
315.36,219.5,4.7818,4.4868
315.21,218.51,4.7618,4.466
315.05,217.52,4.7421,4.4499
314.9,216.53,4.7223,4.4328
314.75,215.54,4.7032,4.4112
314.59,214.55,4.6861,4.3899
314.44,213.56,4.6695,4.3747
314.29,212.57,4.6546,4.3615
314.14,211.58,4.6397,4.3495
313.98,210.6,4.6271,4.3401
313.83,209.61,4.6164,4.331
313.68,208.62,4.6082,4.3206
313.53,207.63,4.6025,4.3104
313.37,206.64,4.5981,4.3028
313.22,205.65,4.5953,4.2959
313.07,204.66,4.5962,4.2913
312.92,203.67,4.5979,4.2885
312.76,202.68,4.6005,4.2863
312.61,201.7,4.6028,4.2871
312.46,200.71,4.6059,4.2892
312.31,199.72,4.6099,4.2922
312.15,198.73,4.6135,4.2965
312,197.75,4.6172,4.3055
311.85,196.76,4.6201,4.3161
311.7,195.77,4.6229,4.3248
311.54,194.79,4.6252,4.3338
311.39,193.8,4.6262,4.3422
311.23,192.81,4.6271,4.3497
311.08,191.83,4.6272,4.3588
310.92,190.84,4.6255,4.3672
310.77,189.85,4.6225,4.373
310.61,188.87,4.618,4.3819
310.45,187.88,4.6119,4.3961
310.29,186.89,4.605,4.4056
310.13,185.91,4.5966,4.4141
309.97,184.92,4.5886,4.4252
309.81,183.94,4.5827,4.4368
309.64,182.95,4.5757,4.451
309.48,181.97,4.5687,4.4646
309.31,180.98,4.5616,4.4808
309.13,180,4.5526,4.5
308.96,179.02,4.5408,4.5191
308.78,178.04,4.5268,4.5399
308.6,177.06,4.5109,4.561
308.41,176.08,4.4945,4.5804
308.22,175.1,4.4764,4.5988
308.02,174.12,4.4563,4.618
307.82,173.15,4.4347,4.6411
307.62,172.17,4.4112,4.6647
307.4,171.2,4.3841,4.696
307.18,170.23,4.3533,4.7353
306.95,169.27,4.3196,4.7837
306.72,168.3,4.2817,4.8457
306.47,167.34,4.2409,4.9167
306.22,166.39,4.1984,4.9945
305.96,165.43,4.1575,5.0802
305.69,164.48,4.1175,5.165
305.4,163.54,4.0798,5.2467
305.11,162.59,4.0452,5.3194
304.81,161.65,4.0114,5.384
